#longitude,latitude,distance,bathymetry
141.024949,37.316569,0,14.7254650696
141.027770389,37.31662806,250.000325724,-7.50934185448
141.030591782,37.316687053,500.000650342,-7.13790480308
141.033413179,37.316745979,750.000973849,-7.5143793363
141.036234581,37.3168048381,1000.00129625,-8.32312712933
141.039055988,37.3168636301,1250.00161755,-9.72186075668
141.041877398,37.3169223552,1500.00193774,-11.3352768054
141.044698813,37.3169810133,1750.00225683,-12.7399354658
141.047520233,37.3170396044,2000.00257482,-13.6601803198
141.050341657,37.3170981285,2250.0028917,-14.2195781124
141.053163085,37.3171565857,2500.00320749,-15.3829636045
141.055984517,37.3172149758,2750.00352218,-17.4734587425
141.058805954,37.317273299,3000.00383578,-17.7977039331
141.061627395,37.3173315551,3250.00414827,-18.1890861499
141.064448841,37.3173897443,3500.00445968,-19.1794992447
141.06727029,37.3174478665,3750.00476999,-19.5350555978
141.070091745,37.3175059218,4000.00507921,-20.7283033944
141.072913203,37.31756391,4250.00538734,-22.8668656839
141.075734666,37.3176218312,4500.00569438,-24.8079916487
141.078556133,37.3176796855,4750.00600034,-26.3175566727
141.081377604,37.3177374727,5000.0063052,-27.2918502864
141.08419908,37.317795193,5250.00660899,-27.3543561548
141.08702056,37.3178528463,5500.00691169,-28.7574956561
141.089842044,37.3179104326,5750.0072133,-31.4311229656
141.092663533,37.3179679519,6000.00751383,-33.9488056201
141.095485026,37.3180254042,6250.00781329,-35.9395363465
141.098306523,37.3180827896,6500.00811166,-37.2812410914
141.101128024,37.3181401079,6750.00840896,-37.8298332469
141.10394953,37.3181973593,7000.00870518,-38.4655730252
141.10677104,37.3182545436,7250.00900033,-39.1687071231
141.109592554,37.318311661,7500.0092944,-39.9234476994
141.112414072,37.3183687114,7750.0095874,-40.0047210077
141.115235595,37.3184256948,8000.00987932,-40.2516700887
141.118057122,37.3184826112,8250.01017018,-41.7057305922
141.120878653,37.3185394606,8500.01045997,-42.5582021616
141.123700188,37.318596243,8750.01074869,-43.1491065015
141.126521728,37.3186529584,9000.01103635,-43.7735976478
141.129343271,37.3187096069,9250.01132294,-45.3895431404
141.132164819,37.3187661883,9500.01160846,-47.9955293663
141.134986372,37.3188227028,9750.01189293,-51.5312224086
141.137807928,37.3188791502,10000.0121763,-53.919897171
141.140629489,37.3189355307,10250.0124587,-55.3002130382
141.143451054,37.3189918441,10500.01274,-55.8195437518
141.146272623,37.3190480906,10750.0130202,-56.986818715
141.149094196,37.3191042701,11000.0132993,-58.6816797661
141.151915773,37.3191603826,11250.0135775,-60.8435488441
141.154737355,37.3192164281,11500.0138545,-62.6979305856
141.15755894,37.3192724066,11750.0141305,-65.0005178228
141.16038053,37.3193283181,12000.0144055,-67.4029983544
141.163202124,37.3193841626,12250.0146794,-66.4827534393
141.166023722,37.3194399401,12500.0149523,-69.561383096
141.168845325,37.3194956507,12750.0152241,-75.488906071
141.171666931,37.3195512942,13000.0154948,-74.4357867932
141.174488542,37.3196068707,13250.0157645,-72.6409372729
141.177310157,37.3196623802,13500.0160332,-71.9027997577
141.180131776,37.3197178228,13750.0163009,-74.8733803272
141.182953399,37.3197731983,14000.0165674,-75.7129097108
141.185775026,37.3198285069,14250.016833,-75.6242257943
141.188596657,37.3198837484,14500.0170975,-78.2348793305
141.191418292,37.319938923,14750.017361,-80.8788447325
141.194239932,37.3199940305,15000.0176234,-83.25282075
141.197061575,37.3200490711,15250.0178848,-85.1243614601
141.199883223,37.3201040446,15500.0181452,-87.0998356121
141.202704875,37.3201589512,15750.0184045,-88.734161802
141.205526531,37.3202137908,16000.0186629,-89.4540586275
141.208348191,37.3202685633,16250.0189201,-90.5175679205
141.211169855,37.3203232689,16500.0191764,-92.0237846029
141.213991523,37.3203779075,16750.0194316,-94.1009910964
141.216813195,37.320432479,17000.0196858,-96.1251615698
141.219634871,37.3204869836,17250.019939,-98.1597381673
141.222456551,37.3205414212,17500.0201911,-100.2306826
141.225278236,37.3205957917,17750.0204422,-102.374457304
141.228099924,37.3206500953,18000.0206924,-104.140135516
