time,height,momentum_x,bathymetry,totalHeight
0,9.13412,7.42587,0,9.13412
1.00964,7.24334,21.185,0,7.24334
2.01927,7.25339,21.1961,0,7.25339
3.02891,7.2584,21.1963,0,7.2584
4.03855,7.2611,21.1973,0,7.2611
5.00781,7.26276,21.1983,0,7.26276
6.01745,7.26395,21.1993,0,7.26395
7.02709,7.26482,21.2003,0,7.26482
8.03674,7.26547,21.2012,0,7.26547
9.00598,7.26585,21.2007,0,7.26585
10.0156,7.26571,21.1953,0,7.26571
11.0252,7.26523,21.187,0,7.26523
12.0349,7.26461,21.1806,0,7.26461
13.0041,7.2631,21.1825,0,7.2631
14.0138,7.25974,21.1976,0,7.25974
15.0234,7.25618,21.2161,0,7.25618
16.033,7.25423,21.2266,0,7.25423
17.0023,7.25362,21.2299,0,7.25362
18.0119,7.2535,21.2306,0,7.2535
19.0216,7.25348,21.2307,0,7.25348
