time,height,momentum_x,momentum_y,bathymetry,totalHeight
0,10,0,0,0,10
1.00863,5.97153,18.4139,-1.69576,0,5.97153
2.00363,4.22053,4.05783,-0.49021,0,4.22053
3.01226,3.83702,-1.89539,0.606671,0,3.83702
4.00726,4.32184,-1.55246,0.386059,0,4.32184
5.00224,4.71482,0.0240604,0.200873,0,4.71482
6.01086,4.83148,0.319031,0.17792,0,4.83148
7.00584,4.88543,0.376456,0.163863,0,4.88543
8.00082,4.91674,0.383125,0.150825,0,4.91674
9.00944,4.93676,0.366543,0.139899,0,4.93676
10.0044,4.95229,0.325092,0.130002,0,4.95229
11.013,4.96594,0.245364,0.119978,0,4.96594
12.008,4.96974,0.157049,0.111013,0,4.96974
13.003,4.962,0.0887177,0.104498,0,4.962
14.0116,4.95176,0.0460473,0.0999701,0,4.95176
15.0066,4.94607,0.0372905,0.0960221,0,4.94607
16.0016,4.94345,0.0710025,0.0917905,0,4.94345
17.0102,4.94369,0.139269,0.0874673,0,4.94369
18.0052,4.95353,0.205109,0.0836086,0,4.95353
19.0002,4.97174,0.237704,0.0800543,0,4.97174
